Order Paper date,Committee name,Report description,HC Number,Publication date,Publication time,HC matched
2026-02-03,Business and Trade,13th Report - Priorities of the Business and Trade Committee for 2026,HC 1411,2026-02-03,00:01:00,Published
2026-02-03,Procedure,4th Report - Call lists,HC 536,2026-02-03,10:00:00,Published
2026-02-04,Public Accounts,65th Report: Efficiency and resilience of the Probation Service,HC 1235,2026-02-04,00:01:00,Published
2026-02-04,Business and Trade,14th Report: Toward a new doctrine for economic security: Government Response,HC 1666,2026-02-04,21:30:00,Published
2026-02-05,"Environment, Food and Rural Affairs",5th Report: UK-EU agritrade: making an SPS agreement work,HC 1661,2026-02-05,00:01:00,Published
2026-02-05,International Development,9th Report: Future of UK aid and development assistance: interim report,HC 1330,2026-02-05,00:01:00,Published
2026-02-05,Restoration and Renewal Client Board (Joint),Delivering restoration and renewal of the Palace of Westminster: the costed proposals,HC 1576,2026-02-05,14:00:00,Published
2026-02-09,Transport,6th Report: Sifting of proposed negative Statutory instruments,HC 1679,2026-02-06,00:01:00,Published
2026-02-09,Women and Equalities,9th Special Report: Tackling HIV transmission: Government Response,HC 1663,2026-02-06,00:01:00,Published
2026-02-09,Statutory Instruments (Joint),Forty-seventh Report of Session 2024–26,HC 291-xlvii,2026-02-06,11:00:00,Published
2026-02-09,"Housing, Communities and Local Government",4th Report: Housing Conditions in the Social Rented Sector,HC 1154,2026-02-09,00:01:00,Published
2026-02-09,Northern Ireland Affairs,3rd Report: Operation Kenova: naming Stakeknife,HC 1580,2026-02-09,00:01:00,Published
2026-02-10,Transport,7th Report - Rail investment pipelines: ending boom and bust,HC 575,2026-02-10,00:01:00,Published
2026-02-10,Transport,8th Report - Railways Bill,HC 1472,2026-02-10,00:01:00,Published
2026-02-11,Business and Trade,15th Report: Small business strategy,HC 1057,2026-02-11,00:01:00,Published
2026-02-11,Education,7th Report: Foundations of Learning: replacing RAAC and securing school buildings,HC 1399,2026-02-11,00:01:00,Published
2026-02-11,International Development,"8th Special Report: Assessing Value, Ensuring Impact: The FCDO’s Approach to Value for Money in Official Development Assistance: Government Response",HC 1669,2026-02-11,00:01:00,Published
2026-02-11,Public Accounts,66th Report: Tackling fraud and error in benefit expenditure 2024-25,HC 1231,2026-02-11,00:01:00,Published
2026-02-11,Statutory Instruments,Twelfth Report of Session 2024-26,HC 294-xii,2026-02-11,00:01:00,Published
2026-02-11,Procedure,5th Report: Elections within the House of Commons,HC 535,2026-02-11,10:00:00,Published
2026-02-12,National Security Strategy (Joint),2nd Special Report: Espionage cases and the Official Secrets Acts: Government and Crown Prosecution Service Responses,HC 1700,2026-02-12,00:01:00,Published
2026-02-12,Scottish Affairs,7th Special Report: Draft Scotland Act 1998 (Modification of Schedule 5) Order 2026: Government Response,HC 1708,2026-02-12,00:01:00,Published
2026-02-12,Northern Ireland,3rd Special Report: The Government’s new approach to addressing the legacy of the past in Northern Ireland: Government response,HC 1716,2026-02-12,14:00:00,Published
2026-02-23,Public Accounts,67th Report: NS&I’s transformation programme,HC 1237,2026-02-23,13:00:00,Published
2026-02-23,Statutory Instruments (Joint),Forty-eighth Report of Session 2024–26,HC 291-xlviii,2026-02-13,11:00:00,Published
2026-02-23,Women and Equalities,11th Report: Cosmetic procedures,HC 869,2026-02-18,00:01:00,Published
2026-02-23,Health and Social Care,4th Special Report: Evaluation of Palliative care in England: Government Response,HC 1722,2026-02-19,00:01:00,Published
2026-02-23,Home Affairs,5th Report: Maccabi Tel Aviv fan ban,HC 1553,2026-02-22,00:01:00,Published
2026-02-23,Public Accounts,68th Report: Excess Votes 2024-25,HC 1711,2026-02-23,00:01:00,Published
2026-02-26,Human Rights (Joint),8th Special Report: Draft Northern Ireland Troubles (Legacy and Reconciliation) Act 2023 (Remedial) Order 2025: Second Report: Government Response,HC 1697,2026-02-26,00:01:00,Published
2026-02-26,Business and Trade,16th Report: Pre-appointment hearing with the Government’s preferred candidate for the Chair of the Competition and Markets Authority,HC 1723,2026-02-26,15:00:00,Published
2026-03-02,Energy Security and Net Zero,"5th Special Report: Workforce planning to deliver clean, secure energy: Government Response",HC 1704,2026-02-27,11:00:00,Published
2026-03-02,Statutory Instruments (Joint),Forty-ninth Report of Session 2024–26,HC 291-xlix,2026-02-27,11:00:00,Published
2026-03-04,Environmental Audit,8th Report: The Seventh Carbon Budget,HC 1327,2026-03-04,00:01:00,Published
2026-03-04,Foreign Affairs,3rd Report: From a Common Understanding to Common Ground: Building a UK-EU Strategic Partnership fit for the future,HC 857,2026-03-04,00:01:00,Published
2026-03-04,Public Accounts,69th Report: Whole of Government Accounts 2023-24,HC 1243,2026-03-04,00:01:00,Published
2026-03-04,Women and Equalities,12th Report: Menstrual health of girls and young women,HC 1265,2026-03-04,00:01:00,Published
2026-03-05,Backbench Business,2nd Special Report: 15th anniversary of the Backbench Business Committee: Government Response,HC 1740,2026-03-05,09:00:00,Published
2026-03-05,Committee on Unopposed Bills,1st Special Report: Special Report on the Royal Albert Hall Bill [HL],HC 1659,2026-03-05,11:00:00,Due
2026-03-05,Members Estimate,2nd Report: Consolidated list of provisions of the Resolutions of the House relating to expenditure charged to the Estimate for House of Commons: Members as at 9 February 2026,HC 1510,2026-03-05,11:00:00,Due
2026-03-05,Speaker’s Conference (2024),"1st Special Report: Speaker’s Conference on the security of MPs, candidates and elections: Government Response",HC 1709,2026-03-05,11:00:00,Due
