Scan date,Scan time,New Publication IDs
2026-02-03,13:48:35,"51360, 51366, 51367, 51371, 51336, 51345, 51312, 51305, 51310, 51330, 51334, 51344, 51335, 51302, 51276, 51283, 51285, 51245, 51246, 51226, 51228, 51210, 51224, 51227, 51202, 51183, 51188, 51189, 51209, 51129"
2026-02-04,05:01:21,"51370, 51386"
2026-02-04,11:08:43,
2026-02-04,11:59:44,
2026-02-04,12:27:11,
2026-02-04,13:12:45,
2026-02-04,13:15:26,
2026-02-05,05:10:14,"51434, 51458, 51459, 51436, 51437"
2026-02-05,11:10:44,51457
2026-02-05,12:02:01,
2026-02-06,00:02:46,"51464, 51466, 51484, 51442, 51463, 51467, 51468, 51470"
2026-02-06,05:08:11,
2026-02-06,10:09:12,
2026-02-06,10:28:41,
2026-02-06,10:58:28,
2026-02-06,11:04:04,51465
2026-02-06,11:08:38,
2026-02-06,11:59:53,
2026-02-09,11:12:22,"51494, 51492, 51493, 51497"
2026-02-09,11:36:09,
2026-02-09,14:48:42,
2026-02-10,05:53:37,
2026-02-10,13:08:07,"51518, 51519"
2026-02-10,13:08:55,
2026-02-10,13:17:58,
2026-02-10,14:14:07,
2026-02-10,14:46:11,
2026-02-10,14:46:19,
2026-02-10,14:46:32,
2026-02-10,14:46:54,
2026-02-10,16:00:18,
2026-02-10,16:01:23,
2026-02-10,16:03:45,
2026-02-10,16:04:18,
2026-02-10,16:05:27,
2026-02-10,16:10:20,
2026-02-11,09:47:15,"51536, 51539, 51540, 51551, 51565, 51534"
2026-02-11,11:18:44,51535
2026-02-11,11:33:17,
2026-02-11,14:40:04,51630
2026-02-12,00:32:29,"51609, 51613, 51664"
2026-02-12,05:40:44,
2026-02-12,11:28:15,51641
2026-02-12,14:33:34,51663
2026-02-13,00:36:39,51662
2026-02-13,05:14:47,
2026-02-13,09:55:03,
2026-02-13,09:58:01,
2026-02-13,10:04:27,
2026-02-13,11:38:57,51670
2026-02-14,02:49:15,
2026-02-14,09:38:43,
2026-02-14,11:31:22,
2026-02-15,03:19:04,
2026-02-15,09:39:43,
2026-02-15,11:31:35,
2026-02-16,03:16:13,
2026-02-16,10:01:45,
2026-02-16,11:47:52,
2026-02-17,03:10:40,51712
2026-02-17,09:57:32,
2026-02-17,11:47:17,
2026-02-18,03:14:10,"51713, 51714"
2026-02-18,09:57:55,
2026-02-18,11:48:42,
2026-02-19,03:12:18,51716
2026-02-19,09:57:23,
2026-02-19,11:48:21,
2026-02-20,02:51:51,
2026-02-20,09:51:16,
2026-02-20,11:39:37,
2026-02-21,02:45:25,
2026-02-21,09:37:24,
2026-02-21,11:30:56,
2026-02-22,03:13:59,51721
2026-02-22,09:38:44,
